"Normals:0","Normals:1","Normals:2","Points:0","Points:1","Points:2"
0.071707,0,0.99743,6.231e-06,-1.2464e-07,-0.0053549
0.069631,0,0.99757,6.231e-06,1.2464e-07,-0.0053549
0.08237,0,0.9966,7.2695e-06,-1.4541e-07,-0.005355
0.078078,0,0.99695,7.2695e-06,1.4541e-07,-0.005355
0.091977,0,0.99576,8.308e-06,-1.6618e-07,-0.0053551
0.089319,0,0.996,8.308e-06,1.6618e-07,-0.0053551
0.10376,0,0.9946,9.3465e-06,-1.8696e-07,-0.0053552
0.099199,0,0.99507,9.3465e-06,1.8696e-07,-0.0053552
0.11213,0,0.99369,1.0385e-05,-2.0773e-07,-0.0053553
0.11023,0,0.99391,1.0385e-05,2.0773e-07,-0.0053553
0.12427,0,0.99225,1.1423e-05,-2.285e-07,-0.0053554
0.11916,0,0.99288,1.1423e-05,2.285e-07,-0.0053554
0.14419,0,0.98955,1.2462e-05,-2.4927e-07,-0.0053556
0.13679,0,0.9906,1.2462e-05,2.4927e-07,-0.0053556
0.15331,0,0.98818,1.3501e-05,-2.7005e-07,-0.0053557
0.15245,0,0.98831,1.3501e-05,2.7005e-07,-0.0053557
0.16248,0,0.98671,1.4539e-05,-2.9082e-07,-0.0053559
0.16248,0,0.98671,1.4539e-05,2.9082e-07,-0.0053559
0.026147,0,-0.99966,2.077e-06,-4.1546e-08,-0.0051228
0.0136,0,-0.99991,1.0385e-06,-2.0773e-08,-0.0051228
0.021816,0,-0.99976,2.077e-06,4.1546e-08,-0.0051228
0.011657,0,-0.99993,1.0385e-06,2.0773e-08,-0.0051228
0.03883,0,-0.99925,3.1155e-06,-6.2318e-08,-0.0051228
0.034654,0,-0.9994,3.1155e-06,6.2318e-08,-0.0051228
0.051644,0,-0.99867,4.154e-06,-8.3091e-08,-0.0051227
0.047326,0,-0.99888,4.154e-06,8.3091e-08,-0.0051227
0.064284,0,-0.99793,5.1925e-06,-1.0386e-07,-0.0051227
0.060124,0,-0.99819,5.1925e-06,1.0386e-07,-0.0051227
0.077041,0,-0.99703,6.231e-06,-1.2464e-07,-0.0051226
0.072743,0,-0.99735,6.231e-06,1.2464e-07,-0.0051226
0.090793,0,-0.99587,7.2695e-06,-1.4541e-07,-0.0051225
0.086066,0,-0.99629,7.2695e-06,1.4541e-07,-0.0051225
0.10582,0,-0.99439,8.308e-06,-1.6618e-07,-0.0051224
0.10067,0,-0.99492,8.308e-06,1.6618e-07,-0.0051224
0.12238,0,-0.99248,9.3465e-06,-1.8696e-07,-0.0051223
0.11667,0,-0.99317,9.3465e-06,1.8696e-07,-0.0051223
0.14231,0,-0.98982,1.0385e-05,-2.0773e-07,-0.0051222
0.1352,0,-0.99082,1.0385e-05,2.0773e-07,-0.0051222
0.16566,0,-0.98618,1.1423e-05,-2.285e-07,-0.005122
0.15754,0,-0.98751,1.1423e-05,2.285e-07,-0.005122
0.17649,0,-0.9843,1.226e-05,2.4523e-07,-0.0051219
0.17649,0,-0.9843,1.226e-05,-2.4523e-07,-0.0051219
0.1832,0,-0.98307,1.2462e-05,-2.4927e-07,-0.0051218
0.1832,0,-0.98307,1.2462e-05,2.4927e-07,-0.0051218
0.18862,0,-0.98205,1.3501e-05,-2.7005e-07,-0.0051216
0.18791,0,-0.98219,1.3501e-05,2.7005e-07,-0.0051216
0.19187,0,-0.98142,1.4539e-05,-2.9082e-07,-0.0051214
0.1906,0,-0.98167,1.4539e-05,2.9082e-07,-0.0051214
0.19681,0,-0.98044,1.5577e-05,-3.1159e-07,-0.0051212
0.19497,0,-0.98081,1.5577e-05,3.1159e-07,-0.0051212
0.20425,0,-0.97892,1.6616e-05,-3.3237e-07,-0.005121
0.20145,0,-0.9795,1.6616e-05,3.3237e-07,-0.005121
0.2157,0,-0.97646,1.7654e-05,-3.5314e-07,-0.0051208
0.21138,0,-0.9774,1.7654e-05,3.5314e-07,-0.0051208
0.23353,0,-0.97235,1.8693e-05,-3.7391e-07,-0.0051206
0.22678,0,-0.97395,1.8693e-05,3.7391e-07,-0.0051206
0.26162,0,-0.96517,1.9732e-05,-3.9468e-07,-0.0051203
0.25096,0,-0.968,1.9732e-05,3.9468e-07,-0.0051203
0.29776,0,-0.95464,2.077e-05,-4.1546e-07,-0.00512
0.28503,0,-0.95852,2.077e-05,4.1546e-07,-0.00512
0.31067,0,-0.95052,2.1215e-05,4.2436e-07,-0.0051199
0.31067,0,-0.95052,2.1215e-05,-4.2436e-07,-0.0051199
0.30617,0,-0.95198,2.1809e-05,-4.3623e-07,-0.0051197
0.30617,0,-0.95198,2.1809e-05,4.3623e-07,-0.0051197
0.29648,0,-0.95504,2.2847e-05,-4.57e-07,-0.0051193
0.29895,0,-0.95427,2.2847e-05,4.57e-07,-0.0051193
0.29661,0,-0.955,2.3885e-05,-4.7778e-07,-0.005119
0.29531,0,-0.9554,2.3885e-05,4.7778e-07,-0.005119
0.31029,0,-0.95064,2.4924e-05,-4.9855e-07,-0.0051187
0.30411,0,-0.95264,2.4924e-05,4.9855e-07,-0.0051187
0.34468,0,-0.93872,2.5962e-05,-5.1932e-07,-0.0051183
0.33061,0,-0.94377,2.5962e-05,5.1932e-07,-0.0051183
0.38931,0,-0.92111,2.7001e-05,-5.4009e-07,-0.0051179
0.37404,0,-0.92741,2.7001e-05,5.4009e-07,-0.0051179
0.39841,0,-0.91721,2.7201e-05,5.4409e-07,-0.0051179
